Symbol,Name,CIK,Sector,Industry,MarketCapitalization,EBITDA,PERatio
A,Agilent Technologies Inc,1090872,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,44117688000,1994000000,35.65
AA,Alcoa Corp,1675149,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,7820615000,2953000000,8.6
AAC,AAC Holdings Inc,1829432,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,1258750000,None,45.77
AACG,ATA Inc,1420529,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,45182700,-40755384,None
AACI,Armada Acquisition Corp I,1844817,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,208338000,None,None
AADI,Aadi Bioscience Inc,1422142,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,307866000,-59277000,2.484
AAIC,Arlington Asset Investment Corp,1209028,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,81412000,None,57.4
AAIN,AAIN,1209028,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,None,None,None
AAL,American Airlines Group,6201,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",8260241000,2400000000,None
AAME,Atlantic American Corporation,8177,FINANCE,LIFE INSURANCE,49288600,6691000,17.29
AAN,Aarons Inc,1821393,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",345665000,240390000,21.19
AAOI,Applied Opt,1158114,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,55621000,-30379000,None
AAON,AAON Inc,824142,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,4035714000,119761000,60.69
AAP,Advance Auto Parts Inc,1158449,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,8489870000,1012869000,18.37
AAPL,Apple Inc,320193,TECHNOLOGY,ELECTRONIC COMPUTERS,2097642078000,130541003000,21.58
AAT,American Assets Trust Inc,1500217,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2035106000,233746000,38.45
AATC,Autoscope Technologies Corp,943034,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC",20549300,1368000,38
AAWW,Atlas Air Worldwide Holdings,1135185,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, NONSCHEDULED",2856275000,926511000,8.06
AB,AllianceBernstein Holding LP,825313,FINANCE,INVESTMENT ADVICE,3440742000,None,10.14
ABB,ABB Ltd,1091587,MANUFACTURING,SWITCHGEAR & SWITCHBOARD APPARATUS,56854331000,4525000000,14.77
