Symbol,Name,CIK,Sector,Industry,MarketCapitalization,EBITDA,PERatio
RSI,Rush Street Interactive Inc,1793659,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,665922000,-122343000,None
RSKD,Riskified Ltd,1851112,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",798935000,-110827000,11.24
RSVR,Reservoir Media Inc,1824403,TRADE & SERVICES,SERVICES-AMUSEMENT & RECREATION SERVICES,366931000,40207100,24.78
RTL,Necessity Retail REIT Inc,1568162,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,880424000,237128000,None
RTO,Rentokil Initial PLC,0000930157,TECHNOLOGY,GENERAL,15755291000,595300000,35.52
RTX,Raytheon Technologies Corp,101829,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,144815620000,11370000000,32.84
RUM,Rumble Inc.,1830081,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,1889710000,-19815016,None
RUN,Sunrun Inc,1469367,MANUFACTURING,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES",5422431000,-251672000,82.08
RUTH,Ruth's Hospitality Group Inc,1324272,TRADE & SERVICES,RETAIL-EATING PLACES,503344000,73947000,12.74
RVLV,Revolve Group LLC,1746618,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,1713853000,104741000,22.05
RVMD,Revolution Medicines Inc,1628171,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1956949000,-245878000,None
RVNC,Revance The,1479290,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1613385000,-233564000,None
RWAY,Runway Growth Finance Corp,1653384,TECHNOLOGY,GENERAL,493584000,None,17.91
RWT,Redwood Trust Inc,930236,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,787782000,None,18.29
RXDX,Prometheus Biosciences Inc,1718852,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,5073203000,-127390000,None
RXO,RXO Inc.,1929561,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,1891087000,317000000,13.33
RXRA,RXR Acquisition Corp,1840463,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,432975000,None,52.84
RXRX,Recursion Pharmaceuticals Inc,1601830,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1423566000,-236120992,None
RXST,Rxsight Inc,1111485,LIFE SCIENCES,OPHTHALMIC GOODS,329333000,-59000000,None
RXT,Rackspace Technology Inc,1810019,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",557330000,554200000,None
RY,Royal Bank of Canada,1000275,FINANCE,"COMMERCIAL BANKS, NEC",130538250000,None,11.68
RYAM,Rayonier Advanced Materials,1597672,LIFE SCIENCES,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",542476000,129996000,7.88
RYAN,Ryan Specialty Group Holdings Inc,1849253,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE",10550657000,412412000,84.46
RYI,Ryerson Holding Corp,1481582,TRADE & SERVICES,WHOLESALE-METALS SERVICE CENTERS & OFFICES,1102244000,807190000,2.206
RYN,Rayonier Inc,52827,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,5042632000,284569000,61.27
RYTM,Rhythm Pharmaceuticals Inc,1649904,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1647624000,-186488000,None
RZB,Reinsurance Group of America Inc,898174,FINANCE,LIFE INSURANCE,7546896000,None,3.955
S,SentinelOne Inc,1583708,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,3751137000,-348992992,None
SA,Seabridge Gold Inc.,1231346,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,984884000,-20722000,153.12
SABR,Sabre Corpo,1597033,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1919270000,-263430000,None
SAFE,Safehold Inc,1688852,REAL ESTATE & CONSTRUCTION,"LESSORS OF REAL PROPERTY, NEC",1858781000,213929000,13.28
SAFT,Safety Insurance Group Inc,1172052,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",1293077000,75550000,23.71
SAGE,Sage Therapeutic,1597553,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2272064000,-517408992,None
SAH,Sonic Automotive Inc,1043509,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1736714000,729800000,5.19
SAIA,Saia Inc,1177702,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),5672237000,629068000,15.73
SAIC,Science Applications International Corp,1571123,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,5980816000,653000000,22.81
SAM,Boston Beer Company Inc,949870,MANUFACTURING,MALT BEVERAGES,4131399000,146665000,154.85
SAN,Banco Santander SA ADR,891478,FINANCE,"COMMERCIAL BANKS, NEC",50080903000,None,5.17
SANA,Sana Biotechnology Inc,1770121,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",646561000,-273640992,None
SAND,Sandstorm Gold Ltd N,1434614,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,1584827000,96483000,12.65
SANM,Sanmina Corporation,897723,MANUFACTURING,PRINTED CIRCUIT BOARDS,3351023000,481385000,14.2
SAP,SAP SE ADR,1000184,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,122705699000,6365000000,35.92
SAR,Saratoga Investment Corp,1377936,TECHNOLOGY,GENERAL,304407000,None,18.81
SASR,Sandy Spring Bancorp Inc,824410,FINANCE,NATIONAL COMMERCIAL BANKS,1588444000,None,9.08
SATS,EchoStar Corporation,1415404,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,1404081000,380478000,24.84
SAVA,Cassava Sciences Inc,1069530,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1322184000,-72302000,None
SAVE,Spirit Airlines Inc,1498710,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",2136863000,-48220000,None
SB,Safe Bulkers Inc,1434754,ENERGY & TRANSPORTATION,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,342340000,249074000,1.789
SBAC,SBA Communications Corp,1034054,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,30501476000,1621538000,76.15
SBCF,Seacoast Banking Corporation of Florida,730708,FINANCE,STATE COMMERCIAL BANKS,1942036000,None,15.95
SBGI,Sinclair Broadcast Group Inc,912752,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,1066667000,961000000,0.433
SBH,Sally Beauty Holdings Inc,1368458,TRADE & SERVICES,"RETAIL-RETAIL STORES, NEC",1335897000,483462000,7.21
SBLK,Star Bulk Carriers Corp,1386716,ENERGY & TRANSPORTATION,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,2077378000,997100000,2.315
SBNY,Signature Bank,1288784,TECHNOLOGY,GENERAL,7236824000,None,5.6
SBOW,SilverBow Resources Inc,351817,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,634711000,442331000,1.711
SBR,Sabine Royalty Trust,710752,TECHNOLOGY,GENERAL,1188213000,None,10.57
SBRA,Sabra Healthcare REIT Inc,1492298,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2880283000,240994000,65.63
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP ADR,1170858,ENERGY & TRANSPORTATION,WATER SUPPLY,7675817000,6588055000,13.37
SBSI,Southside Bancshares Inc,705432,FINANCE,STATE COMMERCIAL BANKS,1140691000,None,10.87
SBSW,Sibanye Gold Ltd ADR,1786909,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,7856582000,50092999000,6.55
SBT,Sterling Bancorp Inc,1680379,FINANCE,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",312420000,None,25.62
SBUX,Starbucks Corporation,829224,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,112794305000,5973400000,34.72
SCAQ,Stratim Cloud Acquisition Corp,1821812,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,311250000,None,45.27
SCCO,Southern Copper Corporation,1001838,ENERGY & TRANSPORTATION,METAL MINING,47050744000,5400400000,18.33
SCHL,Scholastic Corporation,866729,MANUFACTURING,BOOKS: PUBLISHING OR PUBLISHING & PRINTING,1347176000,133100000,21.18
SCHN,Schnitzer Steel Industries Inc,912603,TRADE & SERVICES,WHOLESALE-MISC DURABLE GOODS,861730000,284866000,5.51
SCHW,Charles Schwab Corp,316709,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",150832595000,None,24.48
SCI,Service Corporation International,89089,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,10711050000,1315215000,16.74
SCL,Stepan Company,94049,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",2410881000,315337000,16.36
SCLX,Scilex Holding Company,1820190,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,473519000,-37437000,None
SCOA,Scion Tech Growth I,1828985,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,725938000,None,25.25
SCOB,ScION Tech Growth II,1838431,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,435563000,None,24.63
SCPL,Sciplay Corp,1760717,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,359059000,166900000,22.93
SCRM,Screaming Eagle Acquisition Corp,1893325,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,930938000,None,None
SCS,Steelcase Inc,1050825,MANUFACTURING,OFFICE FURNITURE (NO WOOD),791744000,140100000,46.8
SCSC,ScanSource Inc,918965,TRADE & SERVICES,WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE,736371000,156189000,8.23
SCVL,Shoe Carnival Inc,895447,TRADE & SERVICES,RETAIL-SHOE STORES,626996000,171968000,5.92
SCWO,374Water Inc. Common Stock,933972,MANUFACTURING,MOTORS & GENERATORS,373709000,-3594235,None
SCWX,Secureworks Corp,1468666,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,462192000,-71524000,None
SD,SandRidge Energy Inc,1349436,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,640395000,195571000,3.619
SDAC,Sustainable Development Acquisition I Corp,1837248,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,396894000,None,25.1
SDGR,Schrodinger Inc,1490978,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1390556000,-136940000,None
SDHY,PGIM Short Duration High Yield Opportunities Fund,1812923,TECHNOLOGY,GENERAL,364915000,None,None
SDRL,Seadrill Limited,1737706,ENERGY & TRANSPORTATION,DRILLING OIL & GAS WELLS,1492000000,279000000,0.893
SE,Sea Ltd,1703399,TRADE & SERVICES,SERVICES-MISCELLANEOUS BUSINESS SERVICES,28216099000,-1793335040,None
SEAS,SeaWorld Entertainment Inc,1564902,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,3469037000,666253000,12.37
SEAT,Vivid Seats Inc,1856031,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1340613000,116612000,37.33
SEDG,SolarEdge Technologies Inc,1419612,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,17251178000,261293000,145.58
SEE,Sealed Air Corporation,1012100,LIFE SCIENCES,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",7227113000,1178600000,13.15
SEER,Seer Inc,1726445,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,353925000,-88485000,None
SEIC,SEI Investments Company,350894,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",7829462000,577208000,15.91
SEM,Select Medical Holdings,1320414,LIFE SCIENCES,SERVICES-HOSPITALS,3095870000,566052000,17.67
SEMR,Semrush Holdings Inc,1831840,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,1074403000,-8012000,None
SES,SES AI Corp,1819142,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",1210394000,-68206000,None
SF,Stifel Financial Corporation,720672,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6157921000,None,9.64
SFB,Stifel Financial Corporation 5.20% Senior Notes due 2047,720672,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6987588000,None,None
SFBS,ServisFirst Bancshares Inc,1430723,FINANCE,STATE COMMERCIAL BANKS,3736432000,None,15.78
SFIX,Stitch Fix,1576942,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,327992000,-195184992,None
SFL,SFL Corporation Ltd,1289877,ENERGY & TRANSPORTATION,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,1271999000,432700000,5.19
SFM,Sprouts Farmers Market LLC,1575515,TRADE & SERVICES,RETAIL-GROCERY STORES,3568271000,479849000,14.92
SFNC,Simmons First National Corporation,90498,FINANCE,NATIONAL COMMERCIAL BANKS,2728585000,None,11.87
SFST,Southern First Bancshares Inc,1090009,FINANCE,NATIONAL COMMERCIAL BANKS,366998000,None,10.0
SG,Sweetgreen Inc,1477815,TRADE & SERVICES,RETAIL-EATING PLACES,978364000,-138399008,None
SGEN,Seagen Inc,1060736,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",23583166000,-560867008,None
SGFY,Signify Health Inc,1828182,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,8343057000,43100000,124.04
SGH,Smart Global Holdings Inc,1616533,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,754175000,220740000,12.45
SGHC,SGHC Limited,1878057,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1466769000,202418000,5.29
SGHT,Sight Sciences Inc,1531177,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,582149000,-80885000,None
SGML,Sigma Lithium Resources Corp,1848309,ENERGY & TRANSPORTATION,METAL MINING,3192975000,-61029192,None
SGMO,Sangamo Therapeutics Inc,1001233,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",486724000,-174259008,None
SGRY,Surgery Partners Inc,1638833,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",2977275000,456500000,None
SGU,Star Gas Partners LP,1002590,TRADE & SERVICES,"RETAIL-RETAIL STORES, NEC",422440000,88545000,13.89
SHAK,Shake Shack Inc,1620533,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,1894620000,44193000,None
SHBI,Shore Bancshares Inc,1035092,FINANCE,NATIONAL COMMERCIAL BANKS,346644000,None,14.07
SHC,Sotera Health Co,1822479,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",2237164000,486179000,17.24
SHCR,Sharecare Inc,1816233,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,590378000,-118506000,None
SHEL,Shell PLC ADR,1306965,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,203579736000,72662000000,5.02
SHEN,Shenandoah Telecommunications Co,354963,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),834638000,60440000,185.11
SHG,Shinhan Financial Group Co Ltd,1263043,FINANCE,NATIONAL COMMERCIAL BANKS,15035412000,None,4.407
SHLS,Shoals Technologies Group Inc,1831651,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,2885390000,57029000,208.17
SHO,Sunstone Hotel Investors Inc,1295810,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,2028256000,188614000,10.83
SHOO,Steven Madden Ltd,913241,MANUFACTURING,"FOOTWEAR, (NO RUBBER)",2531214000,324715000,10.28
SHOP,Shopify Inc,1594805,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,42818548000,-312379008,258.92
SHW,Sherwin-Williams Co,89800,TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",62886232000,3328400000,32.84
SHYF,Shyft Group Inc,743238,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,863095000,56390000,22.37
SI,Silvergate Capital Corp,1312109,FINANCE,STATE COMMERCIAL BANKS,526799000,None,4.391
SIBN,Si-Bone Inc,1459839,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,407746000,-59146000,None
SID,Companhia Siderurgica Nacional ADR,1049659,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",3808742000,11576742000,7.84
SIER,Sierra Lake Acquisition Corp,1844135,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,390885000,None,14.8
SIG,Signet Jewelers Ltd,832988,TRADE & SERVICES,RETAIL-JEWELRY STORES,3092002000,900700000,10.57
SIGA,SIGA Technologies Inc,1010086,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,566667000,139045000,5.24
SIGI,Selective Insurance Group Inc,230557,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",5476002000,373776000,24.29
SII,Sprott Inc.,1512920,FINANCE,FINANCE SERVICES,834247000,44118000,42.76
SILK,Silk Road Medical Inc,1397702,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,2058615000,-51662000,None
SIMO,Silicon Motion Technology,1329394,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,2065680000,277313000,10.11
SINT,SINTX Technologies Inc,1269026,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,425851000,-10313000,None
SIRE,Sisecam Resources LP Unit,1575051,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),423716000,151200000,7.35
SIRI,Sirius XM Holding Inc,908937,TECHNOLOGY,RADIO BROADCASTING STATIONS,22714915000,2564000000,20.14
SITC,Site Centers Corp,894315,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2896334000,398185000,15.3
SITE,SiteOne Landscape Supply Inc,1650729,LIFE SCIENCES,AGRICULTURAL SERVICES,5270199000,461100000,20.5
SITM,Sitime Corporation,1451809,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,2131301000,43823000,49.7
SIVB,SVB Financial Group,719739,FINANCE,STATE COMMERCIAL BANKS,12816724000,None,7.9
SIX,Six Flags Entertainment New,701374,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1885989000,492057000,21
SJI,South Jersey Industries Inc,91928,ENERGY & TRANSPORTATION,NATURAL GAS DISTRIBUTION,4315667000,570967000,26.5
SJIV,South Jersey Industries Inc Unit,91928,ENERGY & TRANSPORTATION,NATURAL GAS DISTRIBUTION,2969049000,None,None
SJM,JM Smucker Company,91419,MANUFACTURING,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",16907614000,1524900000,29.75
SJR,Shaw Communications Inc Class B,932872,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,13190563000,2222000000,23.46
SJT,San Juan Basin Royalty Trust,319655,TECHNOLOGY,GENERAL,553013000,None,8.6
SJW,SJW Corporation,766829,ENERGY & TRANSPORTATION,WATER SUPPLY,2456470000,209060000,41.98
SKE,Skeena Resources Ltd,1713748,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,391219000,-121567000,None
SKIN,Beauty Health Co,1818093,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,1294537000,-5332000,39.3
SKM,SK Telecom Co Ltd ADR,1015650,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,8353644000,4956406940000,12.69
SKT,Tanger Factory Outlet Centers Inc,899715,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,1874072000,227248000,24.6
SKX,Skechers USA Inc,1065837,MANUFACTURING,"FOOTWEAR, (NO RUBBER)",6542160000,702702000,9.07
SKY,Skyline Corporation,90896,MANUFACTURING,MOBILE HOMES,2924781000,577865000,6.98
SKYT,Skywater Technology Inc,1819974,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,322478000,-32458000,None
SKYW,SkyWest Inc,793733,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",789335000,657714000,6.42
SLAB,Silicon Laboratories Inc,1038074,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,4483872000,157326000,70.91
SLAC,Social Leverage Acquisition Corp I,1834755,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,429956000,None,71.21
SLAM,Slam Corp,1838162,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,725938000,None,24.63
